DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2008,15.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2009,3.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2010,-1.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2011,4.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2012,2.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2013,0.0,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2014,0.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2015,0.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2016,0.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2017,2.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2018,2.6,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2019,2.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2020,0.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2021,3.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2022,17.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,LV,2023,9.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,MT,2004,2.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,MT,2005,2.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,MT,2006,2.6,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,MT,2007,0.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,MT,2008,4.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,MT,2009,1.8,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,MT,2010,2.0,
